,precision,recall,f1-score,support
schlaf,0.7714285714285715,0.8709677419354839,0.8181818181818182,31.0
stress,0.7941176470588235,0.7714285714285715,0.782608695652174,35.0
bewegung,0.7777777777777778,0.8235294117647058,0.8,34.0
ernaehrung,0.967741935483871,0.9090909090909091,0.9375,33.0
micro avg,0.8235294117647058,0.8421052631578947,0.8327137546468402,133.0
macro avg,0.827766482937261,0.8437541585549175,0.834572628458498,133.0
weighted avg,0.8277318171184717,0.8421052631578947,0.833777749710244,133.0
samples avg,0.7654761904761904,0.7904761904761904,0.756938775510204,133.0
